Country,ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Eritrea,ERI,49.7327,50.5159,52.4358,53.1887,54.0274,54.8222,55.4979,56.1551,49.9968,44.5061,56.2852,58.3587,58.9406,59.4551,60.0625,60.6276,61.4567,61.998,62.422,63.2029,63.6653,64.2314,64.6965,65.005,65.5166,65.9094,66.242,66.6115,66.9787,67.3061,66.9802,66.9396,67.7892,68.6239,68.8927
Estonia,EST,69.9173,69.7947,69.1592,68.2217,66.7441,67.8143,70.0314,70.2438,69.8404,70.6807,71.0142,70.8336,71.3637,71.923,72.3751,73.0276,73.1995,73.1534,74.2787,75.1519,75.8816,76.3462,76.4159,77.252,77.1104,77.665,77.7631,78.1814,78.3339,78.7728,78.8929,77.4095,78.1674,79.1535,79.3087
Eswatini,SWZ,61.1675,60.3924,59.2838,58.0917,56.6433,55.0795,53.2956,51.6985,50.0657,48.8076,47.6273,46.3442,45.3799,44.6321,43.9064,43.9581,44.5628,45.1604,45.8527,46.9126,48.331,49.0568,50.7143,52.1102,53.4913,54.9407,56.2284,57.5742,58.7072,59.8496,59.8618,58.2284,63.0283,64.1227,64.2636
Ethiopia,ETH,45.1166,46.6565,47.2788,47.6757,47.9256,48.1562,48.6974,49.21,49.7854,49.4857,50.8802,51.4276,52.0851,52.8773,53.7349,54.364,55.4017,56.5665,57.7325,58.715,59.7094,60.5947,61.4426,62.1613,62.9272,63.592,64.1624,64.7659,65.2573,65.7413,65.9688,65.3299,66.8971,67.315,67.6028
Falkland Islands (Malvinas),FLK,53.336,54.6171,56.2832,58.1758,60.2304,62.3609,64.4358,66.3869,68.1614,69.7716,71.1332,72.2665,73.2425,74.0341,74.7009,75.341,75.9414,76.4897,76.9519,77.3941,77.7285,77.98,78.1911,78.2954,78.3551,78.4296,78.4831,78.5113,78.5577,78.6131,78.7753,78.9882,79.0448,79.2132,79.3699
Faroe Islands,FRO,76.8938,77.0876,77.2675,77.4064,77.5418,77.658,77.764,77.8983,78.0235,78.1483,78.2507,78.3251,78.3664,78.386,78.3755,78.9032317073171,79.04069146341465,79.1901817073171,79.32983170731706,79.50507195121949,79.68521219512195,79.88997195121951,80.0563219512195,80.24753170731705,80.44629146341464,80.60929146341465,80.78359146341465,80.9191012195122,81.05239146341465,81.17485121951219,81.3130512195122,81.3181012195122,81.1038012195122,81.6615512195122,80.3938
Fiji,FJI,65.056,65.4568,65.4074,65.5103,65.7958,66.007,66.2018,66.2927,66.5364,66.728,66.1937,66.2047,65.4923,65.6531,65.8405,65.9826,66.1258,66.1612,66.3199,66.3466,66.7782,66.8803,65.8121,66.5446,66.5808,66.4798,66.657,67.0596,66.9645,67.0088,66.924,64.9039,67.1481,67.3157,67.4625
Finland,FIN,74.9892,75.4069,75.6469,75.8848,76.5747,76.6037,76.8695,77.0641,77.2592,77.4507,77.6713,78.1423,78.27,78.5334,78.8458,78.9711,79.373,79.3911,79.695,79.831,80.0116,80.3916,80.5076,80.869,81.0546,81.3775,81.3029,81.4967,81.6265,81.8643,81.8219,81.8137,81.2435,81.9102,82.0769
France,FRA,76.8351,77.0162,77.2973,77.3488,77.7681,77.8715,78.0613,78.4246,78.5879,78.7457,79.0438,79.2208,79.4109,79.419,80.3363,80.3367,80.7449,80.9602,81.0392,81.1635,81.4047,81.781,81.739,81.9786,82.4366,82.1487,82.4008,82.4385,82.5682,82.7304,82.1993,82.3216,82.4753,83.3253,83.4582
French Guiana,GUF,70.8509,71.0416,71.2419,71.4598,71.6908,71.9176,72.1263,72.2186,72.4918,72.7198,72.9651,73.3225,73.4925,73.5778,73.8038,74.1342,74.5652,74.952,75.3653,75.6351,75.8516,76.0172,76.2166,76.4587,76.6767,76.6314,76.652,76.7994,77.2376,76.5711,77.5067,74.1955,76.7942,76.9781,77.1842
French Polynesia,PYF,73.9083,74.295,74.7459,75.1912,75.6504,76.2426,76.8134,77.3803,77.8419,78.5739,79.0001,79.3158,79.5438,79.7103,79.829,79.9511,80.0999,80.3277,80.5874,80.8667,81.1407,81.4341,81.6953,81.9352,82.1514,82.3393,82.5551,82.7741,82.9852,83.1955,82.4588,79.5711,83.8594,84.0698,84.1924
Gabon,GAB,60.7355,60.8908,61.0134,61.1248,61.183,61.2696,61.2648,61.3955,61.506,61.658,61.8098,61.9818,62.1752,62.4627,62.6944,62.978,63.2589,63.6186,64.0109,64.3612,64.7148,65.1016,65.4384,65.7506,66.0698,66.3361,66.5832,66.8163,67.0426,67.3369,67.0725,67.0715,67.713,68.3367,68.5114
Gambia,GMB,51.2782,51.8574,52.4771,53.1503,53.7676,54.2923,54.8493,55.2254,56.0074,56.4657,56.8994,57.2832,57.7361,58.2232,58.7491,59.1098,59.667,60.0014,60.4734,60.7348,61.1675,61.5612,61.9,62.2525,62.5759,62.9713,63.3862,63.7076,64.0339,64.4275,64.4183,63.8475,64.859,65.8603,66.0571
"Gambia, The",GMB,51.278,51.857,52.477,53.15,53.768,54.292,54.849,55.225,56.007,56.466,56.899,57.283,57.736,58.223,58.749,59.11,59.667,60.001,60.473,60.735,61.167,61.561,61.9,62.252,62.576,62.971,63.386,63.708,64.034,64.427,64.418,63.847,64.859,65.86,
Georgia,GEO,68.6787,68.2022,67.7801,67.4052,68.6692,69.3982,70.637,69.6832,69.7869,70.0116,70.0909,70.3705,70.438,71.3766,71.0115,70.6895,70.9829,70.9852,70.9494,71.0578,71.7318,72.4846,72.6721,73.0247,73.1051,73.241,73.1358,73.4347,73.9847,74.1649,73.5094,71.6353,74.1409,74.4965,74.6573
Germany,DEU,75.3414,75.5597,76.0035,76.0803,76.3799,76.5515,76.7833,77.2182,77.5759,77.7977,78.0563,78.4023,78.4749,78.5361,79.1186,79.254,79.5862,79.7306,79.8161,79.9151,80.0814,80.3549,80.5017,80.454,80.9056,80.5658,80.8371,80.9371,80.8747,81.1893,81.0036,81.1059,80.5796,81.3777,81.5387
Ghana,GHA,55.3949,55.722,56.0554,56.2862,56.2339,56.662,56.9568,57.2414,57.5245,57.8354,58.1392,58.403,58.7086,59.0141,59.3159,59.6381,59.9753,60.2822,60.5785,60.9278,61.2974,61.6169,61.9954,62.3969,62.8321,63.1749,63.5216,63.829,64.1382,64.4554,64.3089,64.2862,65.246,65.4979,65.6951
Gibraltar,GIB,76.8143,77.1177,77.412,77.7223,78.0515,78.345,78.6957,79.0973,79.4765,79.8124,80.1446,80.4187,80.5898,80.7126,80.8559,80.9906,81.1033,81.2695,81.5414,81.8073,82.0797,82.3334,82.5267,82.5861,82.6444,82.6682,82.741,82.8576,83.0279,83.1834,83.0698,80.2743,83.5167,83.553,83.6303
Greece,GRC,77.2986,77.386,77.3061,77.691,77.8579,77.893,78.0364,78.3991,78.3027,78.4233,78.442,78.9087,79.0305,79.0848,79.3503,79.6505,79.7605,79.6615,80.1047,80.3677,80.5727,80.6248,80.4221,81.067,81.1203,80.7894,81.2692,80.9614,81.4954,81.3487,81.5361,80.5312,79.9441,81.8568,82.0306
Greenland,GRL,64.1539963414634,64.27295365853661,64.4942487804878,64.83238292682925,64.90693780487805,64.9005231707317,65.04895853658536,65.1426243902439,65.40798658536585,65.8094304878049,65.6313,66.2727,67.0072,67.6174,67.5455,67.7693,68.1436,68.3385,68.4002,69.079056097561,69.26776585365855,69.52933902439025,69.9489707317073,70.31996829268294,70.0861,70.85656219512194,71.11256829268295,71.1591475609756,71.1607804878049,71.10084512195121,71.00326585365855,70.9314012195122,70.79619390243906,70.8023780487805,70.1938
Grenada,GRD,70.5464,70.8233,71.1249,71.45,71.78,72.0936,72.373,72.6004,72.7622,72.8725,72.9547,73.0336,73.1424,73.2907,72.4468,73.7003,73.9302,74.1588,74.3745,74.567,74.7308,74.8608,74.9607,75.0221,75.0449,75.0375,75.0099,74.9766,74.9569,74.9711,75.019,74.5221,75.1508,75.2052,75.3666
Guadeloupe,GLP,73.9321,74.2668,74.6192,74.8951,75.2063,75.5334,75.8501,76.1559,76.4287,76.7438,77.08,77.2667,77.8108,78.1707,78.3494,78.1836,78.4279,79.054,79.6593,79.7474,80.12,80.4527,80.9718,80.7917,81.1854,81.2679,81.6403,81.7544,81.3819,81.3922,80.6481,78.2108,80.9054,82.0503,82.2409
Guam,GUM,73.4554,73.5181,73.6322,74.0045,74.3445,74.511,74.6376,74.7004,74.7533,74.7894,74.894,75.1948,75.5056,75.8847,76.1138,76.4271,76.4766,76.3967,76.2332,76.1415,76.0954,76.1529,76.2375,76.361,76.4228,76.4438,76.4487,76.4631,76.5605,76.6453,75.5289,75.4337,77.1015,77.2093,77.4224
Guatemala,GTM,61.7673,61.9256,61.9922,62.4421,63.0264,63.6619,64.5396,65.2489,65.9688,66.6342,67.1018,67.4365,67.8345,68.2041,68.2448,68.167,68.7902,69.2993,69.4929,69.6764,69.885,70.3214,70.7225,70.878,70.9424,70.9148,71.215,71.5829,71.4964,71.6394,69.9707,67.8582,71.2064,72.6023,72.7459
Guernsey,GGY,76.6357,76.7928,77.8223,76.7998,77.0163,78.1235,78.0918,78.7018,79.1567,80.2553,79.3867,79.487,79.6117,79.6828,80.4338,80.7315,81.1572,81.3092,81.5586,81.9031,82.3105,82.6412,82.3522,82.8353,83.0091,82.7496,82.5649,82.3206,82.7481,83.2815,83.3459,81.9691,83.108,83.2744,83.3824
Guinea,GIN,47.2518,47.7813,48.2662,48.8185,49.1884,49.8359,50.5458,51.1134,51.6099,51.9871,52.4197,52.669,53.2002,53.5891,53.9748,54.4217,54.8753,55.2331,55.7034,56.052,56.4305,56.7776,57.1169,57.4588,57.5815,57.8986,58.49,58.7151,59.0434,59.3785,59.3499,59.3728,60.4316,60.7405,60.9044
Guinea-Bissau,GNB,46.8904,47.2012,47.5184,47.8404,47.7747,48.5313,48.7718,48.0331,48.1231,48.4919,50.5646,51.0536,51.6083,52.186,52.7998,52.9489,54.0885,54.8705,55.3,56.2974,56.9992,57.6626,58.27,58.8789,59.476,60.0708,60.6187,61.1484,61.6516,62.1612,61.343,61.6528,63.6045,64.0849,64.2541
Guyana,GUY,62.2538,62.4632,62.816,63.0161,63.0066,62.668,62.6909,62.8794,63.4292,63.7715,64.0748,64.3804,64.1832,64.1173,64.2138,64.392,64.848,65.4617,65.7211,66.0297,66.2043,66.4688,66.4433,66.7099,67.3343,67.7193,68.0685,68.5431,68.8288,69.0673,67.751,64.3228,69.8885,70.1802,70.3191
Haiti,HTI,53.2154,53.5241,54.0414,54.4779,54.7312,55.5816,56.1112,56.6749,57.1373,57.6923,58.1749,58.5914,59.0411,59.4398,58.5165,60.3182,60.7404,61.0902,61.2801,61.6945,45.5768,61.5812,62.2735,62.6245,62.9689,63.2239,63.3247,63.8323,64.0766,64.3281,63.773,62.613,63.9483,64.9356,65.1192
Honduras,HND,65.1825,65.5842,65.9078,66.0744,66.5234,66.919,67.2627,67.5418,62.4316,68.0049,68.3018,68.4906,68.7141,68.8741,69.0498,69.1982,69.3641,69.5388,69.6572,69.8234,69.7697,70.116,70.4605,70.7648,71.0316,71.323,71.6152,71.8046,72.0005,72.1238,70.864,69.4924,72.7151,72.8842,73.0436
"Hong Kong SAR, China",HKG,77.3707317073171,77.8729268292683,77.6734146341464,78.0160975609756,78.5436585365854,78.6787804878049,79.6275609756098,80.1121951219512,80.1068292682927,80.3726829268293,80.8731707317073,81.4192682926829,81.4521951219512,81.3434146341464,81.7992682926829,81.6090243902439,82.3848780487805,82.3668292682927,82.3404878048781,82.7751219512195,82.9575609756098,83.4119512195122,83.450243902439,83.8312195121951,83.9356097560976,84.2526829268293,84.2114634146342,84.6956097560976,84.869756097561,85.1558536585366,85.4963414634146,85.5326829268293,83.6609756097561,85.2473170731707,
Hungary,HUN,69.3718,69.4409,69.1672,69.1803,69.6042,69.9689,70.5972,71.0034,70.9186,71.0402,71.7581,72.3944,72.5072,72.5135,72.906,72.8649,73.3441,73.4314,73.9571,74.179,74.5189,74.9226,75.1826,75.6827,75.8493,75.6536,76.1569,76.007,76.2049,76.4546,75.7302,74.1851,76.2118,77.024,77.1814
Iceland,ISL,77.7406,77.7575,78.5865,78.8093,79.0221,77.5426,78.6456,78.6723,79.3963,79.2363,79.5485,80.4209,80.2778,80.7678,80.7209,81.1691,80.9375,81.093,81.244,81.4174,81.5939,81.9725,82.3459,81.7425,82.4298,82.1638,81.8286,82.241,82.4526,82.8474,82.7113,82.8433,81.5877,82.6911,83.0132
India,IND,58.6184,59.0324,59.445,59.823,60.2372,60.6295,61.0269,61.4393,61.8525,62.2837,62.7492,63.1581,63.6486,64.0862,64.4843,64.9385,65.3726,65.8034,66.2471,66.7001,67.1616,67.6228,68.0763,68.499,68.9323,69.326,69.7091,70.0676,70.4152,70.7463,70.1563,67.2823,71.6984,72.0026,72.2353
Indonesia,IDN,63.2486,63.7031,64.1821,64.8509,65.0413,65.2633,65.4648,65.7737,65.9416,66.0015,66.2919,66.5826,66.9535,67.134,65.5208,67.5308,67.6636,67.9141,68.0846,68.2674,68.3642,68.629,68.8617,69.0635,69.292,69.5196,69.7333,69.9533,70.0797,70.3491,68.8173,67.4516,70.9246,71.1457,71.2881
Iran (Islamic Republic of),IRN,64.0656,66.2325,66.6528,67.0373,67.4901,67.9036,68.328,68.649,69.2136,69.6858,70.1665,70.6188,71.1118,70.4642,72.0401,72.4463,72.8953,73.2992,73.6835,74.0412,74.3896,74.7207,75.039,75.3486,75.6352,75.9073,76.1551,76.3963,76.6205,76.8549,74.1406,73.7521,76.7993,77.6545,77.8539
"Iran, Islamic Rep.",IRN,64.066,66.233,66.653,67.037,67.49,67.904,68.328,68.649,69.214,69.686,70.166,70.619,71.112,70.464,72.04,72.446,72.895,73.299,73.683,74.041,74.39,74.721,75.039,75.349,75.635,75.907,76.155,76.396,76.621,76.855,74.141,73.752,76.799,77.654,
Iraq,IRQ,57.5872,61.3381,65.3436,65.3097,65.0269,64.7614,64.6178,64.2412,64.4049,64.5316,64.8603,65.292,65.724,64.8339,64.6342,64.8989,64.0288,64.4278,66.465,67.8337,68.0924,68.4351,68.8267,69.0469,69.679,69.9771,68.6834,69.7878,71.1162,71.2452,69.6506,70.7036,72.0371,72.3242,72.4238
Ireland,IRL,74.8375,75.0268,75.4231,75.289,75.7963,75.4743,75.8263,75.9765,76.1848,76.089,76.535,77.1003,77.5903,78.1003,78.5027,78.9093,79.1504,79.5631,79.7877,80.0954,80.5992,80.7272,80.8524,81.065,81.4063,81.5326,81.6836,82.1032,82.1232,82.4108,82.3897,81.8608,82.0505,82.4118,82.5798
Isle of Man,IMN,71.8002,72.1827,72.5439,72.8223,73.1403,73.3711,73.6342,73.9,74.2043,74.4686,74.8419,75.2893,75.785,76.319,76.8763,77.4528,77.9713,78.4507,78.8989,79.3026,79.6132,79.8363,80.007,80.1199,80.1994,80.2666,80.3913,80.5064,80.6139,80.7399,80.5909,80.4197,80.9561,80.999,81.0912
Israel,ISR,77.32290853658535,77.5834,77.2727,77.8618,78.0448,78.0516,78.5705,78.5522,78.5881,78.8907,79.1797,79.4787,79.5137,79.8194,80.3052,80.3935,80.7857,80.9532,81.2828,81.8183,81.9742,81.9892,81.9849,82.354,82.3608,82.2538,82.6123,82.6993,82.9184,82.9048,82.6997,82.5169,82.8145,82.408,82.7268
Italy,ITA,76.9936,76.9898,77.3647,77.6529,77.8725,78.1253,78.4381,78.7346,78.8068,79.205,79.607,79.8849,80.112,80.191,81.0175,81.0201,81.4137,81.5002,81.6454,81.7619,82.1319,82.2282,82.252,82.6522,82.9008,82.5211,83.0459,82.7263,83.1844,83.3423,82.1814,82.8652,82.052,83.7157,83.8691
Jamaica,JAM,71.7047,71.7867,71.8163,71.7577,71.6244,71.4881,71.3277,71.2161,71.1697,71.1885,71.2814,71.2872,71.478,71.5846,71.542,71.4929,71.3946,71.4046,71.5021,71.7174,71.9789,72.245,72.4047,72.4352,72.3572,72.2144,72.0522,71.8789,71.6062,71.5316,71.4519,69.0846,71.4809,71.4789,71.6061
Japan,JPN,78.9928,79.262,79.303,79.4461,79.8366,79.6837,80.3627,80.5836,80.6487,80.6129,81.1788,81.5101,81.7952,81.854,82.1275,82.0073,82.3699,82.5488,82.6332,82.9699,82.916,82.6705,83.1676,83.4018,83.6434,83.8832,84.0568,84.1891,84.289,84.4177,84.6703,84.55,84.0541,84.7123,84.852
Jersey,JEY,76.0873,76.3152,76.5593,76.766,77.0621,77.3274,77.5831,77.8404,78.064,78.2262,78.4235,78.6317,78.8352,79.1306,79.4277,79.684,79.9093,80.1442,80.2809,80.4001,80.54,80.6654,80.7011,80.7151,80.6733,80.5257,80.3466,80.1828,80.0258,79.8931,79.4471,79.3232,79.7257,79.7071,79.833
Jordan,JOR,70.0935,70.2398,70.3998,70.5678,70.738,70.915,71.1045,71.3236,71.521,71.7373,71.9258,72.1412,72.3587,72.585,72.7877,72.9772,73.2248,73.4074,73.5631,73.7075,73.7973,73.9286,74.0873,74.2816,74.606,75.06,75.5501,76.0708,76.4913,76.8645,75.5831,74.2042,77.088,77.8145,77.9812
Kazakhstan,KAZ,65.7012,65.3788,64.9779,64.5377,64.1077,63.7169,63.4551,63.3182,63.349,63.5279,63.793,64.1081,64.4405,64.7533,65.04,65.3556,65.7223,66.18,66.7589,67.4605,68.2575,69.1076,69.9395,70.7189,71.4149,72.0242,72.5491,72.9955,73.3693,73.6581,71.1952,70.1311,73.5028,74.4021,74.5314
Kenya,KEN,58.3336,57.8258,57.095,56.6681,56.1013,55.8557,55.5748,55.4779,55.5681,55.8658,56.0836,56.5005,56.7587,57.3694,57.9472,58.5098,59.0588,59.4073,59.9545,60.4828,60.9149,61.2827,61.5373,61.7291,61.9904,62.279,62.5261,62.7248,62.8254,62.9391,61.5958,61.2253,63.5491,63.6459,63.8344
Kiribati,KIR,61.0184,61.5021,61.9682,62.406,62.7966,63.146,63.4703,63.7971,64.1,64.3933,64.6739,64.9179,65.1233,65.2869,65.4157,65.5174,65.6014,65.6766,65.7455,65.8083,65.8595,65.8958,65.9081,65.8979,65.8687,65.831,65.7991,65.7871,65.8067,65.8663,65.2046,64.1482,66.2687,66.4731,66.5995
"Korea, Dem. People's Rep.",PRK,70.484,70.717,71.009,70.794,70.472,60.766,60.82,60.869,60.887,60.91,60.911,60.893,60.877,69.399,69.294,69.168,69.061,69.021,69.303,69.702,70.246,70.772,71.317,71.867,72.451,72.825,72.971,73.034,73.02,72.928,72.783,73.437,73.641,73.642,
"Korea, Rep.",KOR,71.5975609756098,72.0463414634146,72.4975609756098,72.9975609756098,73.3975609756098,73.7,74.1512195121951,74.6024390243903,75.0048780487805,75.409756097561,75.909756097561,76.4121951219512,76.7658536585366,77.2146341463415,77.6658536585366,78.1682926829268,78.6682926829268,79.119512195122,79.5170731707317,79.9682926829268,80.1170731707317,80.5682926829269,80.819512195122,81.2707317073171,81.7219512195122,82.0243902439024,82.2756097560976,82.6268292682927,82.6268292682927,83.2268292682927,83.4268292682927,83.5268292682927,82.6804878048781,83.4292682926829,
Kosovo,XKX,66.508,66.456,67.381,67.945,68.595,68.782,69.359,69.862,68.58,58.265,71.321,71.782,72.227,72.678,73.132,73.437,73.63,74.422,74.711,74.79,74.609,75.323,75.75,76.336,76.179,76.024,76.748,77.105,77.117,77.249,74.212,74.981,77.623,78.033,
Kosovo (under UNSC res. 1244),XKX,66.5083,66.4562,67.3807,67.9451,68.5949,68.7816,69.3586,69.8621,68.5798,58.2652,71.3212,71.7825,72.2266,72.6781,73.1321,73.4374,73.63,74.4216,74.7112,74.79,74.6086,75.3234,75.7504,76.3358,76.1788,76.0241,76.7482,77.1052,77.1165,77.2489,74.2118,74.9812,77.6233,78.0326,78.2215
Kuwait,KWT,72.854,73.31,75.7351,75.7718,75.7279,75.6648,75.6015,75.5648,75.612,75.7223,75.8728,76.0366,76.1881,76.3043,76.3876,76.4639,76.5541,76.6875,76.8895,77.1674,77.4995,77.8637,78.227,78.5831,78.927,79.2194,79.5162,79.7314,79.8994,80.9960280487805,78.2483,78.18079268292685,79.6879524390244,81.7962524390244,80.5998
Kyrgyz Republic,KGZ,68.2975609756098,68.5512195121951,68.1024390243903,67.1926829268293,66.0390243902439,65.790243902439,66.5439024390244,66.8926829268293,67.0512195121951,68.6560975609756,68.5585365853659,68.7073170731707,68.1560975609756,68.2560975609756,68.1536585365854,67.9560975609756,67.6951219512195,67.8951219512195,68.4512195121951,69.1024390243903,69.3,69.6024390243903,70.0024390243902,70.2024390243902,70.4024390243902,70.6512195121951,70.9512195121951,71.2,71.4,71.6,71.8,71.9,72.0487804878049,72.2487804878049,
Kyrgyzstan,KGZ,64.8247,64.9404,64.4265,63.6459,62.718,62.9186,63.4469,64.1625,64.5788,64.9161,65.2419,65.3191,65.3418,65.4485,65.6494,65.7894,65.7816,66.0466,66.6158,67.1401,67.5214,67.7481,68.1419,68.4623,68.8293,69.3094,69.9095,70.5031,70.6678,70.8907,69.136,69.2904,71.487,71.677,71.8238
Lao PDR,LAO,54.035,54.7,55.098,55.583,55.81,56.344,56.821,57.302,57.549,57.866,58.317,58.887,59.302,59.643,60.08,60.688,61.074,61.694,62.248,63.023,63.69,64.505,65.126,65.723,66.35,66.688,67.014,67.345,67.594,67.911,68.339,67.807,68.715,68.964,
Lao People's Dem. Republic,LAO,54.035,54.7,55.0976,55.5833,55.8101,56.3441,56.8214,57.3023,57.5489,57.8658,58.3168,58.8867,59.3024,59.6426,60.0803,60.6881,61.0743,61.694,62.2477,63.023,63.6895,64.505,65.1262,65.7226,66.3497,66.6881,67.0136,67.3452,67.5942,67.9113,68.3386,67.8074,68.7152,68.9637,69.2245
Latvia,LVA,69.4572,69.1819,68.4514,66.6288,65.1828,65.9954,68.5859,69.2247,68.8508,69.6483,70.1755,69.9058,70.1755,70.6361,71.48316463414635,70.6324,70.5501,70.7894,71.999,72.6966,73.0285,73.7176,73.9387,74.1873,74.306,74.6646,74.7568,74.8005,74.9793,75.6278,75.4781,73.1809,74.8706,76.1898,76.3301
Lebanon,LBN,65.479,70.8648,71.1693,71.5588,72.0301,72.3835,72.6144,72.9402,73.2005,73.5135,73.8949,74.3542,74.8356,75.2753,75.6933,76.0737,75.6766,76.7316,76.9557,77.2618,77.5292,77.7682,77.941,78.0365,78.148,78.2754,78.3063,78.1922,78.2632,78.2079,76.2988,73.6495,78.0029,77.817,77.9453
Lesotho,LSO,59.3171,59.0607,58.6382,58.0604,57.2879,56.3684,55.1362,53.7334,52.0287,50.3848,48.7828,47.1525,45.9501,44.9214,44.0388,43.6115,43.182,43.6601,44.304,45.0552,46.0447,46.9302,48.2353,49.5475,50.7865,51.8298,52.9078,53.8737,54.6377,55.2493,55.1325,54.2091,56.8119,57.3749,57.7976
Liberia,LBR,37.6435,43.5745,43.5661,43.0215,42.6212,44.5732,44.9454,48.3022,49.3671,50.4116,51.8517,53.1095,54.0612,53.045,55.9489,56.7648,57.4946,58.1469,58.6751,59.1064,59.3577,59.4862,59.7855,59.9925,59.2101,59.2481,60.4834,60.7767,60.9995,61.2324,61.2672,61.1658,61.9342,62.1625,62.3238
Libya,LBY,69.3118,69.6353,69.9735,70.2474,70.4725,70.6415,70.7358,70.7197,70.6567,70.6007,70.5421,70.6533,70.7883,70.996,71.2096,71.4386,71.6324,71.7876,71.9361,72.0706,72.1963,69.9496,72.1882,72.3387,71.2996,71.644,71.7987,72.721,73.1508,72.9412,72.3882,72.0617,74.4615,69.3389,71.1211
Liechtenstein,LIE,78.5098,78.6597,78.654,78.4518,78.1798,77.9183,77.6657,76.8211707317073,77.8058,78.1507,77.70126463414636,79.1936,79.7588,80.2377,81.25191585365855,81.1169,81.4029,81.6389,81.8552,81.9374,82.0538,82.1571,82.2544,82.3739,82.5465,82.7618,82.8949,83.111,83.269,83.4047,82.037,83.5950695121951,83.4054,84.23563170731711,83.7476
Lithuania,LTU,71.3694,70.5095,70.3368,68.9336,68.5026,69.0184,70.1931,71.0289,71.3303,71.7172,72.1387,71.7123,71.8389,72.0883,72.0009,71.2464,70.9639,70.6982,71.6959,72.8496,73.1962,73.608,73.9644,74.0268,74.596,74.4737,74.8195,75.7015,75.9091,76.4245,75.105,74.2967,74.696,76.025,76.1674
Luxembourg,LUX,74.9674,74.9643,75.25856585365855,75.4257,75.9312,75.8777,76.1684,76.3903,76.5712,76.9864,77.2635,77.5298,77.5518,77.2624,78.6583,78.8786,78.8384,79.1157,80.1066,79.9074,80.0987,80.2848,80.4383,80.8544,81.2359,81.77439146341464,82.15263292682926,81.59216097560974,81.5187,82.11346219512195,81.4108,81.8392,82.2007,82.79396829268295,82.3606
"Macao SAR, China",MAC,76.3986829268293,76.4601219512195,76.8933170731707,77.3012682926829,77.2664878048781,76.7585365853659,77.5439024390244,77.6463414634146,78.2463414634146,78.9951219512195,80.1829268292683,80.5878048780488,80.9463414634146,81.0439024390244,80.9926829268293,81.3414634146341,81.7292682926829,81.7292682926829,82.0268292682927,82.1756097560976,82.2731707317073,82.4707317073171,82.4707317073171,82.7219512195122,83.0219512195122,83.2243902439024,83.2756097560976,83.5268292682927,83.6780487804878,83.9292682926829,84.1292682926829,83.7292682926829,83.0804878048781,83.1804878048781,
Madagascar,MDG,52.1403,52.555,52.9464,53.7325,54.2469,54.845,55.4768,56.1267,56.8028,57.4344,57.9742,58.6744,59.1704,59.6926,60.1684,60.6639,61.1404,61.5335,61.9919,62.3044,62.5967,62.8602,63.0068,63.1613,63.2615,63.3621,63.4312,63.4328,63.4911,63.5039,62.706,62.5157,63.0677,63.6317,63.8346
Malawi,MWI,43.5748,43.5397,43.6363,43.6485,43.8,43.8043,44.0051,44.1995,44.2995,45.06,46.1698,47.2049,48.1757,49.6013,51.0731,52.4693,53.652,54.6867,55.7151,56.7139,57.787,58.8589,59.8695,60.8158,61.6507,62.324,63.163,63.9145,64.4641,64.995,65.2159,64.782,66.037,67.3535,67.5608
Malaysia,MYS,70.9516,71.2192,71.4832,71.7209,71.8651,71.9792,72.1191,72.2959,72.3854,72.4278,72.7324,73.08,73.4695,73.7273,74.0269,74.3699,74.6969,74.9611,75.1514,75.2694,75.3761,75.4878,75.5524,75.464,75.3451,75.2876,75.3712,75.542,75.7341,75.9005,76.0566,73.9172,75.4442,76.6571,76.821
Maldives,MDV,63.1478,63.9106,64.6643,65.4343,66.1968,66.9619,67.7337,68.5171,69.303,70.1567,70.8919,71.6593,72.3597,73.2634,73.0085,74.7846,75.2558,75.7108,75.9994,76.3714,76.7556,77.1409,77.5123,77.8474,78.1873,78.6073,78.9128,79.2278,79.4331,79.7071,78.713,78.052,80.7595,81.0412,81.285
Mali,MLI,46.5415,46.8892,47.2381,47.5855,47.914,48.2925,48.4997,49.0859,49.5919,50.0603,50.6046,51.3004,51.9954,52.632,53.2527,53.7925,54.3046,54.7561,55.1868,55.5883,55.9931,56.3673,56.6959,57.0523,57.4818,57.8519,58.2857,58.562,58.8728,59.2173,58.8577,59.116,60.0347,60.4394,60.6745
Malta,MLT,76.1597,76.4884,76.68,76.8337,76.9457,76.9817,76.8312817073171,77.3158,77.7987,77.7525,77.9031,78.9023,78.4668,78.6961,79.1661,79.4894,79.5611,79.7375,79.6904,80.4155,81.3977,80.8038,81.0638,81.8181,82.3176,82.5914,82.6567,83.0891,82.9083,82.8387,82.3358,82.3161,82.2496,83.2989,83.4666
Marshall Islands,MHL,61.7558,61.792,61.8996,62.085,62.3083,62.5147,62.7654,63.0146,63.2175,63.4207,63.3233,63.7347,63.8483,63.9562,64.0442,64.1124,64.2072,64.2594,64.3003,64.3946,64.4977,64.6407,64.7761,64.9545,65.11,65.2922,65.4768,65.6731,65.8703,66.0473,65.3873,65.4209,66.7245,66.9454,67.075
